areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
S12000029,South Lanarkshire,utla,2021-12-06,241489
S12000045,East Dunbartonshire,utla,2021-12-06,85419
E06000003,Redcar and Cleveland,utla,2021-12-05,97327
E06000014,York,utla,2021-12-05,147245
E06000050,Cheshire West and Chester,utla,2021-12-05,258306
E08000001,Bolton,utla,2021-12-05,189157
E08000016,Barnsley,utla,2021-12-05,169433
E08000031,Wolverhampton,utla,2021-12-05,162373
E08000032,Bradford,utla,2021-12-05,324747
E09000018,Hounslow,utla,2021-12-05,185068
E09000032,Wandsworth,utla,2021-12-05,228355
E09000033,Westminster,utla,2021-12-05,144548
E10000034,Worcestershire,utla,2021-12-05,437917
S12000013,Na h-Eileanan Siar,utla,2021-12-05,20435
S12000029,South Lanarkshire,utla,2021-12-05,241475
S12000045,East Dunbartonshire,utla,2021-12-05,85366
E06000003,Redcar and Cleveland,utla,2021-12-04,97307
E06000014,York,utla,2021-12-04,147157
E06000050,Cheshire West and Chester,utla,2021-12-04,258257
E08000001,Bolton,utla,2021-12-04,189081
E08000016,Barnsley,utla,2021-12-04,169342
E08000031,Wolverhampton,utla,2021-12-04,162317
E08000032,Bradford,utla,2021-12-04,324577
E09000018,Hounslow,utla,2021-12-04,184936
E09000032,Wandsworth,utla,2021-12-04,228200
E09000033,Westminster,utla,2021-12-04,144504
E10000034,Worcestershire,utla,2021-12-04,437747
S12000013,Na h-Eileanan Siar,utla,2021-12-04,20403
S12000029,South Lanarkshire,utla,2021-12-04,240885
S12000045,East Dunbartonshire,utla,2021-12-04,85324
E06000003,Redcar and Cleveland,utla,2021-12-03,97240
E06000014,York,utla,2021-12-03,147028
E06000050,Cheshire West and Chester,utla,2021-12-03,258038
E08000001,Bolton,utla,2021-12-03,188948
E08000016,Barnsley,utla,2021-12-03,169219
E08000031,Wolverhampton,utla,2021-12-03,162193
E08000032,Bradford,utla,2021-12-03,324218
E09000018,Hounslow,utla,2021-12-03,184652
E09000032,Wandsworth,utla,2021-12-03,227941
E09000033,Westminster,utla,2021-12-03,144374
E10000034,Worcestershire,utla,2021-12-03,437474
S12000013,Na h-Eileanan Siar,utla,2021-12-03,20385
S12000029,South Lanarkshire,utla,2021-12-03,240840
S12000045,East Dunbartonshire,utla,2021-12-03,85278
E06000003,Redcar and Cleveland,utla,2021-12-02,97190
E06000014,York,utla,2021-12-02,146935
E06000050,Cheshire West and Chester,utla,2021-12-02,257836
E08000001,Bolton,utla,2021-12-02,188806
E08000016,Barnsley,utla,2021-12-02,169133
E08000031,Wolverhampton,utla,2021-12-02,162043
E08000032,Bradford,utla,2021-12-02,323959
E09000018,Hounslow,utla,2021-12-02,184451
E09000032,Wandsworth,utla,2021-12-02,227800
E09000033,Westminster,utla,2021-12-02,144161
E10000034,Worcestershire,utla,2021-12-02,437209
S12000013,Na h-Eileanan Siar,utla,2021-12-02,20346
S12000029,South Lanarkshire,utla,2021-12-02,240830
S12000045,East Dunbartonshire,utla,2021-12-02,85213
E06000003,Redcar and Cleveland,utla,2021-12-01,97163
E06000014,York,utla,2021-12-01,146852
E06000050,Cheshire West and Chester,utla,2021-12-01,257584
E08000001,Bolton,utla,2021-12-01,188669
E08000016,Barnsley,utla,2021-12-01,169010
E08000031,Wolverhampton,utla,2021-12-01,161909
E08000032,Bradford,utla,2021-12-01,323639
E09000018,Hounslow,utla,2021-12-01,184280
E09000032,Wandsworth,utla,2021-12-01,227633
E09000033,Westminster,utla,2021-12-01,144029
E10000034,Worcestershire,utla,2021-12-01,436965
S12000013,Na h-Eileanan Siar,utla,2021-12-01,20344
S12000029,South Lanarkshire,utla,2021-12-01,240806
S12000045,East Dunbartonshire,utla,2021-12-01,85197
E06000003,Redcar and Cleveland,utla,2021-11-30,97131
E06000014,York,utla,2021-11-30,146758
E06000050,Cheshire West and Chester,utla,2021-11-30,257315
E08000001,Bolton,utla,2021-11-30,188504
E08000016,Barnsley,utla,2021-11-30,168907
E08000031,Wolverhampton,utla,2021-11-30,161712
E08000032,Bradford,utla,2021-11-30,323424
E09000018,Hounslow,utla,2021-11-30,184063
E09000032,Wandsworth,utla,2021-11-30,227453
E09000033,Westminster,utla,2021-11-30,143806
E10000034,Worcestershire,utla,2021-11-30,436628
S12000013,Na h-Eileanan Siar,utla,2021-11-30,20344
S12000029,South Lanarkshire,utla,2021-11-30,240788
S12000045,East Dunbartonshire,utla,2021-11-30,85176
E06000003,Redcar and Cleveland,utla,2021-11-29,97091
E06000014,York,utla,2021-11-29,146664
E06000050,Cheshire West and Chester,utla,2021-11-29,257069
E08000001,Bolton,utla,2021-11-29,188389
E08000016,Barnsley,utla,2021-11-29,168830
E08000031,Wolverhampton,utla,2021-11-29,161568
E08000032,Bradford,utla,2021-11-29,323046
E09000018,Hounslow,utla,2021-11-29,183881
E09000032,Wandsworth,utla,2021-11-29,227274
E09000033,Westminster,utla,2021-11-29,143655
E10000034,Worcestershire,utla,2021-11-29,436392
S12000013,Na h-Eileanan Siar,utla,2021-11-29,20337
S12000029,South Lanarkshire,utla,2021-11-29,240760
S12000045,East Dunbartonshire,utla,2021-11-29,85140
E06000003,Redcar and Cleveland,utla,2021-11-28,96949
E06000014,York,utla,2021-11-28,146575
E06000050,Cheshire West and Chester,utla,2021-11-28,256912
E08000001,Bolton,utla,2021-11-28,188287
E08000016,Barnsley,utla,2021-11-28,168786
E08000031,Wolverhampton,utla,2021-11-28,161436
E08000032,Bradford,utla,2021-11-28,322919
E09000018,Hounslow,utla,2021-11-28,183710
E09000032,Wandsworth,utla,2021-11-28,227158
E09000033,Westminster,utla,2021-11-28,143525
E10000034,Worcestershire,utla,2021-11-28,436173
S12000013,Na h-Eileanan Siar,utla,2021-11-28,20332
S12000029,South Lanarkshire,utla,2021-11-28,240743
S12000045,East Dunbartonshire,utla,2021-11-28,85102
E06000003,Redcar and Cleveland,utla,2021-11-27,96941
E06000014,York,utla,2021-11-27,146494
E06000050,Cheshire West and Chester,utla,2021-11-27,256823
E08000001,Bolton,utla,2021-11-27,188213
E08000016,Barnsley,utla,2021-11-27,168695
E08000031,Wolverhampton,utla,2021-11-27,161363
E08000032,Bradford,utla,2021-11-27,322752
E09000018,Hounslow,utla,2021-11-27,183560
E09000032,Wandsworth,utla,2021-11-27,227012
E09000033,Westminster,utla,2021-11-27,143444
E10000034,Worcestershire,utla,2021-11-27,435979
S12000013,Na h-Eileanan Siar,utla,2021-11-27,20329
S12000029,South Lanarkshire,utla,2021-11-27,240236
S12000045,East Dunbartonshire,utla,2021-11-27,85076
E06000003,Redcar and Cleveland,utla,2021-11-26,96920
E06000014,York,utla,2021-11-26,146241
E06000050,Cheshire West and Chester,utla,2021-11-26,256619
E08000001,Bolton,utla,2021-11-26,188075
E08000016,Barnsley,utla,2021-11-26,168576
E08000031,Wolverhampton,utla,2021-11-26,161305
E08000032,Bradford,utla,2021-11-26,322408
E09000018,Hounslow,utla,2021-11-26,183317
E09000032,Wandsworth,utla,2021-11-26,226730
E09000033,Westminster,utla,2021-11-26,143308
E10000034,Worcestershire,utla,2021-11-26,435490
S12000013,Na h-Eileanan Siar,utla,2021-11-26,20327
S12000029,South Lanarkshire,utla,2021-11-26,240200
S12000045,East Dunbartonshire,utla,2021-11-26,85055
E06000003,Redcar and Cleveland,utla,2021-11-25,96844
E06000014,York,utla,2021-11-25,146167
E06000050,Cheshire West and Chester,utla,2021-11-25,256437
E08000001,Bolton,utla,2021-11-25,187976
E08000016,Barnsley,utla,2021-11-25,168487
E08000031,Wolverhampton,utla,2021-11-25,161196
E08000032,Bradford,utla,2021-11-25,322182
E09000018,Hounslow,utla,2021-11-25,183158
E09000032,Wandsworth,utla,2021-11-25,226557
E09000033,Westminster,utla,2021-11-25,143114
E10000034,Worcestershire,utla,2021-11-25,435232
S12000013,Na h-Eileanan Siar,utla,2021-11-25,20307
S12000029,South Lanarkshire,utla,2021-11-25,240162
S12000045,East Dunbartonshire,utla,2021-11-25,85036
E06000003,Redcar and Cleveland,utla,2021-11-24,96782
E06000014,York,utla,2021-11-24,146114
E06000050,Cheshire West and Chester,utla,2021-11-24,256272
E08000001,Bolton,utla,2021-11-24,187861
E08000016,Barnsley,utla,2021-11-24,168371
E08000031,Wolverhampton,utla,2021-11-24,161062
E08000032,Bradford,utla,2021-11-24,321907
E09000018,Hounslow,utla,2021-11-24,183050
E09000032,Wandsworth,utla,2021-11-24,226424
E09000033,Westminster,utla,2021-11-24,143004
E10000034,Worcestershire,utla,2021-11-24,435040
S12000013,Na h-Eileanan Siar,utla,2021-11-24,20304
S12000029,South Lanarkshire,utla,2021-11-24,240109
S12000045,East Dunbartonshire,utla,2021-11-24,85022
E06000003,Redcar and Cleveland,utla,2021-11-23,96758
E06000014,York,utla,2021-11-23,146044
E06000050,Cheshire West and Chester,utla,2021-11-23,256074
E08000001,Bolton,utla,2021-11-23,187733
E08000016,Barnsley,utla,2021-11-23,168293
E08000031,Wolverhampton,utla,2021-11-23,160927
E08000032,Bradford,utla,2021-11-23,321650
E09000018,Hounslow,utla,2021-11-23,182918
E09000032,Wandsworth,utla,2021-11-23,226247
E09000033,Westminster,utla,2021-11-23,142841
E10000034,Worcestershire,utla,2021-11-23,434914
S12000013,Na h-Eileanan Siar,utla,2021-11-23,20302
S12000029,South Lanarkshire,utla,2021-11-23,240079
S12000045,East Dunbartonshire,utla,2021-11-23,85008
E06000003,Redcar and Cleveland,utla,2021-11-22,96680
E06000014,York,utla,2021-11-22,145992
E06000050,Cheshire West and Chester,utla,2021-11-22,255909
E08000001,Bolton,utla,2021-11-22,187647
E08000016,Barnsley,utla,2021-11-22,168243
E08000031,Wolverhampton,utla,2021-11-22,160841
E08000032,Bradford,utla,2021-11-22,321391
E09000018,Hounslow,utla,2021-11-22,182764
E09000032,Wandsworth,utla,2021-11-22,226100
E09000033,Westminster,utla,2021-11-22,142706
E10000034,Worcestershire,utla,2021-11-22,434726
S12000013,Na h-Eileanan Siar,utla,2021-11-22,20301
S12000029,South Lanarkshire,utla,2021-11-22,240031
S12000045,East Dunbartonshire,utla,2021-11-22,84986
E06000003,Redcar and Cleveland,utla,2021-11-21,96650
E06000014,York,utla,2021-11-21,145943
E06000050,Cheshire West and Chester,utla,2021-11-21,255818
